English short,Spanish short,English formal,Spanish formal,,,,,,,,,,,,,
Afghanistan,Afganistán (el),the Islamic Republic of Afghanistan,la República Islámica del Afganistán,,,,,,,,,,,,,
Albania,Albania,the Republic of Albania,la República de Albania,,,,,,,,,,,,,
Algeria,Argelia,the People's Democratic Republic of Algeria,la República Argelina Democrática y Popular,,,,,,,,,,,,,
Andorra,Andorra,the Principality of Andorra,el Principado de Andorra,,,,,,,,,,,,,
Angola,Angola,the Republic of Angola,la República de Angola,,,,,,,,,,,,,
Antigua and Barbuda,Antigua y Barbuda,Antigua and Barbuda,Antigua y Barbuda,,,,,,,,,,,,,
Argentina,Argentina (la),the Argentine Republic,la República Argentina,,,,,,,,,,,,,
Armenia,Armenia,the Republic of Armenia,la República de Armenia,,,,,,,,,,,,,
Australia,Australia,Australia,Australia,,,,,,,,,,,,,
Austria,Austria,the Republic of Austria,la República de Austria,,,,,,,,,,,,,
Azerbaijan,Azerbaiyán,the Republic of Azerbaijan,la República de Azerbaiyán,,,,,,,,,,,,,
Bahamas (the),Bahamas (las),the Commonwealth of the Bahamas,el Commonwealth de las Bahamas,,,,,,,,,,,,,
Bahrain,Bahrein,the Kingdom of Bahrain,el Reino de Bahrein,,,,,,,,,,,,,
Bangladesh,Bangladesh,the People's Republic of Bangladesh,la República Popular de Bangladesh,,,,,,,,,,,,,
Barbados,Barbados,Barbados,Barbados,,,,,,,,,,,,,
Belarus,Belarús,the Republic of Belarus,la República de Belarús,,,,,,,,,,,,,
Belgium,Bélgica,the Kingdom of Belgium,el Reino de Bélgica,,,,,,,,,,,,,
Belize,Belice,Belize,Belice,,,,,,,,,,,,,
Benin,Benin,the Republic of Benin,la República de Benin,,,,,,,,,,,,,
Bhutan,Bhután,the Kingdom of Bhutan,el Reino de Bhután,,,,,,,,,,,,,
Bolivia (Plurinational State of),Bolivia (Estado Plurinacional de),the Plurinational State of Bolivia,el Estado Plurinacional de Bolivia,,,,,,,,,,,,,
Bosnia and Herzegovina,Bosnia y Herzegovina,Bosnia and Herzegovina,Bosnia y Herzegovina,,,,,,,,,,,,,
