Timestamp,Today's date,Type of Event (select all that apply),"Where is the issue? Provide street, municipality, and state (don't include your personal information)",What is the issue?,How urgent is the situation?,How long has this been an issue?,How would you resolve this issue?,Do you have evidence? Do you have a photo?,Add link to more information,Title of Report,Do you know about when this problem begun?
11/18/2017 14:41:08,11/18/2017,"Industrial belts (e.g, hazardous companies)","El Salto, Jalisco","Foamy water, polluted water, skin and throat conditions, cancer epidemic.",10,Longer than one year,"Require the companies that are polluting the river and community to pay and clean up, sew the company for damages, get rid of corrupt politicians.",,http://www.milenio.com/region/contaminacion-rio-Santiago-culpa-entidades_0_811718854.html,,
11/18/2017 14:45:08,11/18/2017,Mining,"Rio Sonora, Cananea, Sonora","40 thousan cubic meters of sulfate with sulphuric acid and other heavy metals were spilled into the river by a mining company (Buenavista del Cobre Grupo Mexico, Cananea)",10,Longer than one year,"Hold the mining company accountable, no waste management has occured, this issue has been polluting the water and river since 2014.",,http://www.animalpolitico.com/2017/08/rio-sonora-contaminado-demandan/,,
11/18/2017 14:50:16,11/18/2017,Water pollution,"San Jose Iturbide, Guanajuato","The region has over 2,500 wells that are polluted and half of them is used for agriculture. Five people have died and many people have developed stomach cancer. 1500 people have fallen ill. Extremely high concentrations of arsenic and fluoride.Overexploited groundwater. ",10,About one year,"Require local polluters to stop with the hazardous waste, provide emergency drinking water for the population, ensure the local food and agriculture is not being affected.",,http://www.milenio.com/estados/UNAM_alerta_por_contaminacion_de_pozos-contaminacion_mantos_freaticos-cancer_estomago_0_824317581.html,,
11/18/2017 14:55:24,11/18/2017,"Waste Management (e.g,landfills, superfund sites, pollution burning)","La Fortaleza, Ecatepec, Mexico",There is landfill that is emitting gas and awful smell that is significantly affecting people's livelihoods. People can't move or sell their houses because of the social degradation that the landfill has created.,10,Longer than one year,"Install a power generation plant, or store the methane and close the landfill for energy. Recyle and do proper treatment, no more waste!",,http://www.milenio.com/estadodemexico/Prometen-cumplen-tiradero-abierto-Ecatepec_0_147585834.html,,
11/18/2017 15:06:06,11/18/2017,"Infrastructure projects (e.g, oil and gas pipelines)",Central Campesina Independiente,"The local utility company has been violating health and safety regulations for over 35 years, exploiting the groundwater of the Mexicali Valley where a geothermal plant of 250 wells is operating. 8 thousand hectares of agriculture have been affected, with farmers physical health and environmental damage taking a toll.",6,Longer than one year,The geothermal generation facility has been taking advantate of the groundwater for years. They need to be help accountable! Alternative sources of energy.,,http://www.proceso.com.mx/269311/planta-geotermica-de-la-cfe-contamina-el-agua-y-dana-la-tierra-en-el-valle-de-mexicali,,
11/18/2017 15:41:06,11/18/2017,Mining,"El Oro, Durango","2 thousand cubic meters of a cyanide solution, leaking into rivers and streams in El oro durango. The solution is seeping into the soil. ",8,Longer than one year,"Remove the permit from the local mining company. Treat the soil, provide healthy water and food for nearby communities. Perform tests and food and water related issues.",,http://www.sinembargo.mx/06-11-2014/1159903,,
11/18/2017 15:45:50,11/18/2017,"Use of Hazardous materials (e.g, pesticides, lead in paint, known carcinogenics)","Lago de Chapala, Jalisco","Environmental emergency for the death of approximately 40-50 tons of fish in the Chapala lake, due to a strong fertilizer effluent and low dissolved oxygen in the water.",10,Longer than one year,"Do analysis of pollutans in the soil leaking towards the lake, carcinogenic substances in the water and food, and ensure that upstream agriculture is following best practices.",,http://www.sinembargo.mx/06-11-2014/1159903,,
2/18/2018 21:43:40,2/18/2018,Water pollution,"reservoir of Hidalgo, Hidalgo state","sewage poured into the reservoir have caused various, serious diseases ",8,Longer than one year,people who were infected and the new borns from surrounding communities have birth defects should have proper government-funded treatment. Sewage should be purified.,,https://www.trtworld.com/americas/water-pollution-seen-behind-rural-mexico-s-health-woes-6271,Water pollution seen behind rural Mexico's health woes,
2/26/2018 14:54:18,2/26/2018,"Air pollution (e.g,power plant emissions, refineries, disproportionate transportation emissions)","Mexico City, the Valley of Mexico","air pollution in Mexico City has been poor since decades ago. However, the driving restrictions hasn't reduced pollution since people would choose taxis, Uber, etc  instead of public transportation. ",8,Longer than one year,carry out more effective driving restrictions ,,https://phys.org/news/2017-02-air-pollution-mexico-city.html ,Plan to reduce air pollution chokes in Mexico City,
2/26/2018 15:22:02,2/26/2018,Water pollution,"Tijuana River, Southern San Diego",the beach closed several times due to the overflow of untreated sewage that contain harmful chemicals into the river and ocean.  ,7,Longer than one year,clean-up program towards pollution and install stormwater diversion infrastructure,,https://mexiconewsdaily.com/news/mexico-blamed-again-for-tijuana-river-pollution/,Mexico blamed for Tijuana river pollution,
