i>>?    #    ,RAZON SOCIAL,CALLE Y NAMERO,COLONIA,MUNICIPIO,CADIGO POSTAL,ESTADO,No. LICENCIA,FECHA  LICENCIA,CLASIFICACION O GIRO,LINEAS AUTORIZADAS
1,ADITIVOS PARA PAPEL QUIMI-CA S.A. DE C.V.,CAMINO NACIONAL S/N,TEQUISISTLAN,TEZOYUCA,56020,MAXICO,05FP151000015,07/Oct/2005,FORMULACION DE PLAGUICIDAS,FUNGICIDAS LIQUIDOS Y BIOCIDAS LIQUIDOS
2,AERO-SPRAY S.A.,PONIENTE 44 No 2709,SAN SALVADOR XOCHIMANCA,ATZCAPOTZALCO,,MAXICO,94318,,FABRICACION DE INSECTICIDAS EN AEROSOL PARA USO DOMESTICO Y JARDINERIA,No disponible (ESPECIFICADO EN LA CLASIFICACION O GIRO)
3,AGRICENTER S.A. DE C.V.,BLVD. FERROPUERTO NO. 190,FRACC. INDUSTRIAL FERROPUERTO,TORREON,27400,COAHUILA,14NV0503521,23/Oct/2014,FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES),FORMULACIAN DE FERTILIZANTES DE ORIGEN QUIMICO SOLIDOS Y LIQUIDOS MEZCLAS FISICAS DE FERTILIZANTES QUIMICOS SALIDOS
4,AGRICULTURA NACIONAL DE JALISCO S. A. DE C. V.,VEREDA DE LAS DALIAS 1099,LOS SAUCES,TLAJOMULCO DE ZUAIGA,45640,JALISCO,09PNV140970016,08/May/2009,"FABRICACION, FORMULACION, MEZCLA O ENVASADO DE NUTRIENTES VEGETALES Y PLAGUICIDAS","FORMULACION DE FUNGICIDAS, INSECTICIDAS Y FERTILIZANTES LIQUIDOS Y ENVASADO DE RODENTICIDAS SOLIDOS"
5,AGRICULTURA NACIONAL S.A. DE C.V.,Km. 5 CARRETERA LAS BOCAS S/N,S/C,IZUCAR DE MATAMOROS,74400,PUEBLA,05PNV210850004,27/Sep/2013,"FABRICACION DE FERTILIZANTES (NUTRIENTES VEGETALES) FABRICACION DE PESTICIDAS Y OTROS AGROQUIMICOS, EXCEPTO FERTILIZANTES (SOLO PLAGUICIDAS)","FORMULACION DE HERBICIDAS, INSECTICIDAS Y FUNGICIDAS LIQUIDOS Y SOLIDOS, FORMULACION DE FERTILIZANTES, MEJORADORES DE SUELO, REGULADORES DE CRECIMIENTO E INOCULANTES LIQUIDOS."
6,AGRICULTURE ENVISION S.A. DE C.V.,CUAUHTEMOC No. 43,MIGUEL HIDALGO,TLALPAN,14268,DISTRITO FEDERAL,12NV090140008,22/Aug/2013,FABRICACION DE FERTILIZANTES (NUTRIENTES VEGETALES),FORMULACION DE FERTILIZANTES E INOCULANTES LIQUIDOS
7,AGRI-ESTRELLA S. DE R.L. DE C.V.,RETORNO ALFONSO REYES NO. 331,COMPLEJO INDUSTRIAL CHIHUAHUA,CHIHUAHUA,31136,CHIHUAHUA,06P080190001,09/Dec/2014,"FABRICACION DE PESTICIDAS Y OTROS AGROQUIMICOS, EXCEPTO FERTILIZANTES (SOLO PLAGUICIDAS)",FABRICACION DE FUNGICIDAS SOLIDOS Y LIQUIDOS
8,AGRIPRODUCTS FERNANDEZ S.A. DE C.V.,AGUSTIN DE ITURBIDE NO. 4,BARRIO DE SAN ANTONIO,TEMASCALAPA,55980,ESTADO DE MEXICO,14NV1508415,08/Sep/2014,FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES),FORMULACION DE FERTILIZANTES QUIMICOS  SOLIDOS Y LIQUIDOS Y MEZCLAS FISICAS
9,AGRO ORGANICOS GAIA S. DE P.R. DE R.L.,AGRO ORGANICOS GAIA S. DE P.R. DE R.L.,"DOMICILIO CONOCIDO S/N LT.1 MANZANA 325, SECTOR 313 PREDIO 313-325-001",LERDO,35181,DURANGO,15PNV100120014,08/Jun/2015,"FABRICACION DE PESTICIDAS Y OTROS AGROQUIMICOS, EXCEPTO FERTILIZANTES (SOLO PLAGUICIDAS) Y FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES)","FORMULACIAN DE FUNGICIDAS, INSECTICIDAS, BACTERICIDAS BOTANICOS Y MICROBIALES LIQUIDOS, FORMULACIAN DE FERTILIZANTES  Y MEJORADORES DE SUELO LIQUIDOS Y SOLIDOS"
10,AGRO UX BIOCONTROL S. DE R.L. DE C.V.,3ERA CERRADA DE CALLE 12 NO. 251,GRANJAS SAN ANTONIO,IZTAPALAPA,09070,DISTRITO FEDERAL,07PNV090090009,12/Oct/2007,"FABRICACION, FORMULACION, MEZCLA O ENVASADO DE NUTRIENTES VEGETALES Y PLAGUICIDAS",FORMULACION DE INSECTICIDAS Y FERTILIZANTES LIQUIDOS
11,AGROBIOLOGICA S.A. DE C.V.,CARRETERA CULIACAN-EL DOLORADO KM 43.5,EJIDO LEOPOLDO SANCHEZ CELIS,CULIACAN,80453,SINALOA,13PNV2500614,11/Jun/2013,"FABRICACION DE PESTICIDAS Y OTROS AGROQUIMICOS, EXCEPTO FERTILIZANTES (SOLO PLAGUICIDAS) Y FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES)","INSECTICIDAS MICROBIALES, INSECTICIDAS BOTANICOS, FUNGICIDAS, MEJORADORES DE SUELO E INOCULANTES LIQUIDOS Y SOLIDOS"
12,AGROBIOLOGICOS DEL NOROESTE  S.A DE C.V,MARGEN DERECHA CARRETERA INTERNACIONAL CULIACAN-NOGALES KM 12,,CULIACAN,8034,SINALOA,05FP250060008,22/Sep/2005,FORMULACION DE PLAGUICIDAS,INSECTICIDAS DE ORIGEN BIOLOGICO (HONGOS)
13,AGROBIOSOL DE MEXICO S.A. DE C.V.,BLVD. DR. JESUS KUMATE RODRIGUEZ,PREDIO LOS BARRANCOS,CULIACAN,80150,SINALOA,12P250060023,03/Sep/2012,"FABRICACION DE PESTICIDAS Y OTROS AGROQUIMICOS, EXCEPTO FERTILIZANTES (SOLO PLAGUICIDAS)","FORMULACION DE INSECTICIDAS, NEMATICIDAS, ACARICIDAS, FUNGICIDAS,
FUNGICIDAS-BACTERICIDAS,  LIQUIDOS Y SOLIDOS (Oriegn biolA3gico exclusivamente)."
14,AGROCENTRO COMERCIAL DE AGUASCALIENTES S. A. DE C. V.,CARRET. RINCON DE ROMOS TEPEZALA KM. 2,RINCON DE ROMOS,RINCON DE ROMOS,20408,AGUASCALIENTES,07NV010070003,14/Mar/2007,"FABRICACION, FORMULACION, MEZCLA O ENVASADO DE NUTRIENTES VEGETALES",FORMULACION DE FERTILIZANTES LIQUIDOS Y SOLIDOS
15,AGROCHEMICALA'S MACDONALD S. DE R.L. DE C.V.,CARRETERA PANAMERICANA KM 62+900 CAMARGO- JIMENEZ,EX HACIENDA DE GUADALUPE,CAMARGO,,CHIHUAHUA,13NV0801134,02/Dec/2013,FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES),FORMULACION DE FERTILIZANTES QUIMICOS  LIQUIDOS Y SOLIDOS
