i>>?NAomero,Rubro,Estado,Municipio,Nombre del Area,Plazo de CertificaciA3n,Fecha de Certificacion,Superficie Certificada,Etnia a la que Pertenece,Ecosistemas,Observaciones
1,Empresas de ParticipaciA3n Estatal,Veracruz,Coatzacoalcos,Parque EcolA3gico Jaguaroundi,99 aA+-os,6/5/2002,960.73,N/A,"Selva Alta Perennifolia, Manglar de agua dulce, Pantano, VegetaciA3n acuA!tica",Obtuvo la ampliaciA3n de plazo a 99 aA+-os.
2,Personas FAsicas,Tabasco,Tacotalpa,"Rancho ""La AsunciA3n"", con el Area Natural Praderaotegida Yu-Balcah (Reserva EcolA3gica Yu Balkah, Estatal)",Perpetuidad,10/21/2003,572,N/A,"Selva Alta Perennifolia inundable, Manglar de agua dulce, Pantano, VegetaciA3n acuA!tica.",
3,Tierras de Uso ComAon,Oaxaca,Santiago Jocotepec,Cerro Chango,Perpetuidad,7/28/2004,700,Chinantecas,"Selva Alta Perennifolia, Selva Mediana Subperennifolia, GalerAa Riparia, Ecosistema cavernAcola.",
4,Comunidades,Oaxaca,San Felipe Usila,Area de ConservaciA3n San Pedro Tlatepusco,25 aA+-os,11/26/2004,"5,050",Chinantecas,"Selva Alta Perennifolia, Selva Mediana Subperennifolia, GalerAa Riparia, Bosque MesA3filo de MontaA+-a, Bosque de Pino-Encino",
5,Comunidades,Oaxaca,San Felipe Usila,Area de ConservaciA3n Santiago Tlatepusco,25 aA+-os,11/26/2004,"4,300",Chinantecas,"Selva Alta Perennifolia, Selva Mediana Subperennifolia, GalerAa Riparia, Bosque MesA3filo de MontaA+-a, Bosque de Pino-Encino",
6,Comunidades,Oaxaca,San Felipe Usila,Area de ConservaciA3n San Antonio del Barrio,25 aA+-os,11/26/2004,"1,500",Chinantecas,"Selva Alta Perennifolia, Selva Mediana Subperennifolia, GalerAa Riparia, Bosque MesA3filo de MontaA+-a, Bosque de Pino-Encino.",
7,Comunidades,Oaxaca,San Felipe Usila,Area de ConservaciA3n la Tierra del FaisA!n,25 aA+-os,11/26/2004,"9,670",Chinantecas,"GalerAa Riparia, Bosque MesA3filo de MontaA+-a, Bosque de Pino-Encino, Bosque Alpino",
8,Personas FAsicas,Puebla,Zihuatehutla,Area de PraderaeservaciA3n de la Naturaleza y Zona de Usos MAoltiples para el Ecoturismo KolijkA(c),Perpetuidad,2/25/2005,26,N/A,"Selva Mediana Subperennifolia, Bosque MesA3filo de MontaA+-a, GalerAa Riparia de Platanus, VegetaciA3n RupAcola (relicto xerA3filo), VegetaciA3n acuA!tica",
9,Comunidades,Oaxaca,Ixtlan de Juarez,Zonas de ConservaciA3n comunitaria Santo Domingo Cacalotepec,20 aA+-os,8/5/2005,999,Zapoteco,"Selva Mediana Subperennifolia, Bosque MesA3filo de MontaA+-a, Bosque de Pino-Encino, Bosque Alpino",
10,Personas FAsicas,Coahuila,Ocampo,Rancho Media Luna,50 aA+-os,8/9/2005,"15,000",N/A,"Matorral XerA3filo MicrA3filo, Matorral XerA3filo HalA3fito, Matorral XerA3filo GipsA3filo, Matorral XerA3filo RosetA3filo, Matorral XerA3filo Crasicaule, Pradera",
