NÚMERO  ,EMPRESA,DOMICILIO,CLAVE DEL ESTADO,ESTADO ,CLAVE DEL MUNICIPIO,MUNICIPIO,CAPACIDAD DE TRATAMIENTO (TON/AÑO),AUTORIZADO PARA REMEDIAR:,No.  AUTORIZACIÓN ,OFICIO DE AUTORIZACION  DGGIMAR.710/,FECHA DE INICIO DE VIGENCIA,FECHA DE TÉRMINO DE VIGENCIA ,MODIFICACIONES  A LA AUTORIZACIÓN NÚMERO DE OFICIO/FECHA  ,CLAVES DE LOS PROCESOS DE TRATAMIENTO AUTORIZADOS         ,  OTROS  TRATAMIENTOS
1,"Suministros Industriales Carrizales, SA de CV","Calle ""B"" No 46  Col Fátima, Cd. del Carmen, Camp.",4,Campeche,3,"Ciudad del
Carmen",3500 m3/mes,Sedimentos en tanques de almacenamiento de productos petroleros ,4-3-PS-V-01-94,10817,28/11/1994,Vigencia indefinida,,OTR1-LS   ,"OTR1-LS:
Tratamiento a un lado del sitio por Precipitación química y separación física de las fases sólida y líquida por centrifugación y filtración"
2,"DIR Construcciones y Servicios, S.A. de C.V.","11? Calle Oriente No. 44 
Col. Centro C.P. 30700
Tapachula, Chiapas.
Tel. 01(962) 52315 
epa.dorantes1@gmail.com
",7,Chiapas,89,Tapachula,,"Suelos y materiales semejantes a suelos, contaminados con hidrocarburos",7-V-33-15,4814,5/6/2015,5/6/2025,,"LAND-S
BVAE-S
PILA-LS
LAND-LS
OXIQ-LS  ",
3,"Servicios Ambiotrat, SA de CV","Sierra del Peguis No 11804,  Col Sierra azul, c.p. 31384 Chihuahua, Chih             Tel  01 (614) 446 50 67",8,Chihuahua,19,Chihuahua,,"Suelos y materiales semejantes a suelos, contaminados con hidrocarburos","08-V-21-14 
PRORROGA","002983
",8/4/2014,8/4/2019,,"PILA-LS
LAND-LS
OXIQ-LS
BVAE-S
EXVA-S",
4,"Grupo Rochabla, 
SA de CV ","Oriente Sacramento No 1810, Col Del Valle, CP 31217, Chihuahua, Chihuahua                 Tel  01(614) 423 15 63 ",8,Chihuahua,19,Chihuahua,,"Suelos y materiales semejantes a suelos, contaminados con hidrocarburos",8- V-64-09   ,"006289
",10/8/2009,10/8/2019,,"PILA-LS
OXIQ-LS
BVAE-S
EXVA-S",
5,"Grupo Arthuriana, 
SA de CV","Cuernavaca No 43, Col Condesa,  CP 06140 Delg Cuauhtemoc,México, DF 
Tel  5212 0268,  5361 1354",9,Ciudad de México,15,Cuauhtémoc,"1,800,000",Suelos contaminados con hidrocarburos ,9-V-21-08        ,3059,30/04/2008,30/04/2018,,"LAND-LS
OXIQ-LS
BVAE-S
EXVA-S",
6,"Consultoría Ambiental, Estudios y Proyectos, SA de CV","Orion No 44, Col Prado Churubusco, CP 04230, Delg Coyoacán, Distrito Federal Tel.  5581 8871,   5582  8876  ",9,Ciudad de México,3,Coyoacán,"1,150,000","Suelos y materiales semejantes a suelos, contaminados con hidrocarburos","9-V-25-08 
PÓRROGA","005222
22Jul08",26/05/2008,22/07/2018,"005008
19Jun09","PILA-LS
LAND-LS
OXIQ-LS
LAND-S
EXVA-S
BVAE-S",
7,"Proyectos y Servicios Ambientales y Seguridad Industrial, SA de CV","Campo Macuspana No 36, Col Reynosa Tamaulipas    CP 02200, Delg Azcapotzalco, DF Tel 5382 4664,  5319 8347, 5394 4697 Fax 5382 4664",9,Ciudad de México,2,Azcapotzalco,"1,200,000",Suelos contaminados con hidrocarburos ,9-V-42-08        ,"005349
",25/07/2008,25/07/2018,,"PILA-LS
LAND-LS
OXIQ-LS
BVAE-S
EXVA-S",
8,"Tecnologías  Limpias, SA de CV","Josafat Márquez Edif 22 Int 504, Fracc Colonial Iztapalapa, CP 09270, Delg Iztapalapa,    D F                  Tel  921 23 98,   
 921 05 57",9,Ciudad de México,7,Iztapalapa,"37,500","Suelos y materiales semejantes a suelos, contaminados con hidrocarburos",09-V-49-08        ,"006259
",25/08/2008,25/08/2018,,LAVS-LS,
9,"Servicio Ambiental Especializado, SA de CV","Calle 5 No 10 Col Espartaco, Delg Coyoacán CP 04870, DF  Tel  5568 77 69",9,Ciudad de México,3,Coyoacán,"540,000","Suelos y materiales semejantes a suelos, contaminados con hidrocarburos","09-V-05-09 
PRÓRROGA","001831
",9/3/2009,9/3/2019,Se MODIFICA la Autorización No. 09-V-05-09  para aplicar el proceso de:     Desorción Térmica a un lado del sitio contaminado.         (Oficio DGGIMAR.710/003564 del 17 de mayo  de 2010) SE MODIFICA para aplicar OTR1 Y  OTR2 (16 ABRIL 2012); SE MODIFICA PARA APLICAR DESO-FS (8 FEB 2013),"LAVS-LS
LAND-S
BVAE-S
EXVA-S
PILA-LS
LAND-LS
OXIQ-LS
DESO-LS
DESO-FS
OTR1-LS
OTR2-LS","OTR1-LS: PRETRATAMIENTO DE SUELOS AFECTADOS DE AGUA SALADA
  OTR2-LS:
 FLUIDIZACION DE HC INTEMPERIZADOS Y SEMI INTEMPERIZADOS A UN LADO DEL SITIO DESO-FS:
 CALLE VENUSTIANO CARRANZA S/N LOC. ANTONIO J. BERMUDEZ, PANUCO, VER"
10,"SEIMSA Servicios Ecológicos Integrales de México, SA de CV","Calle Tijuana No 22 Interior 2  Col. Del Valle,  CP 03100     Del. Benito Juárez, México DF Tel.5523 4754    
5536 2265",9,Ciudad de México,14,Benito Juárez,,"Suelos y materiales semejantes a suelos, contaminados con hidrocarburos",09-V-20-09,"002153
",20/03/2009,20/03/2019,,"OXIQ-LS
LAND-S
LAND-LS
BVAE-S
EXVA-S
PILA-LS",
