No.,Empresa,Dirección,Municipio,Clave Municipio,Estado,Clave Estado,Teléfono,Tipo de Residuo,No. de Autorización,Vigencia Inicio,Vigencia Término,Capacidad (ton/año)
1,"Tratamiento Ecológico de Residuos, S.A. de C.V.","Calzada Vista al Mar No. 1542, Col. Vista al Mar",Ensenada,1,Baja California,2,(55) 5026 7000,"Agua contaminada con hidrocarburos (aguas con aceites, líquidos acuosos contamindos de diferentes procesos productivos; lodos de la separación primaria de aceite/agua/sólidos; lodo generado por separación gravitacional de aceite/agua/sólidos durante el almacenamiento o tratamiento de aguas residuales de proceso y aguas residuales aceitosas de enfriamiento, lodos generados de aguas de enfriamiento aceitosas y lodos generados en unidades de tratamientos biológicos; aguas de enfriamiento aceitosas; lodos y natas generados en unidades de tratamientos biológicos)",02-IV-67-15,21/12/2015,21/12/2025,"36,000"
2,"Guaycan Químicos y Petrolíferos, S.A. de C.V.","Carretera a San Felipe Km. 13.5, Col. 4 División 2 Delegación Cerro Prieto C.P. 21600",Mexicali,2,Baja California,2,(686) 592 93 12,"Reciclaje de residuos peligrosos, consistentes en hidrocarburos, keroseno, nafta, aceite gastado, diesel y combustóleo usados, para la formulación de combustible alterno.",2-IV-52-10,25/06/2010,25/06/2020,"5,900"
3,"Ing Servicios Profesionales, S.A. de C.V.","Blvd. Anáhuac No. 423, Centro Cívico y Comercial, 21000",Mexicali,2,Baja California ,2,(686) 564 0808,"Refrigerantes gastados particularmente Tricloromonofluorometano, Diclorodifluorometano conocidos comercialmente como R-11 y R-12.",2-IV-10-13,15/05/2013,15/05/2023,40
4,"Technologies Displays Mexicana, S.A. de C.V.","Calzada Robledo Industrial No. 460, Desarrollo Industrial del Colorado, Lote 1 Manzana 4.",Mexicali,2,Baja California,2,(686) 559 51 00                                                                                                                                                                            Ext. 5341,Reciclaje de tubos de rayos catódicos y vidrío con plomo a partir de monitores y televisores de desecho.,2-IV-22-10,27/04/2010,27/04/2020,"108,000"
5,"Industria Química de Aceites y Combustibles, S. de R.L.","Av. Ejercito Libertador s/n, Lote 15, Col. Anexo Emiliano Zapata, Delegación González Ortega",Mexicali,2,Baja California,2,(686) 132  70 53,Aceites lubricantes usados,2-IV-38-16,16/06/2016,16/06/2026,"1,560"
6,"Recicladora Temarry de México, S.A. de C.V.","Carretera Federal No. 2 Mexicali-Tijuana Km 121, Col. San Pablo",Tecate,3,Baja California,2,(665) 655 14 62,"Solventes y disolventes orgánicos gastados: solventes aromáticos (tolueno, xileno, benceno, etil benceno, m-cresol) y solventes alifáticos e hidrocarburos (nafta, n-pentano, n-hexano, n-heptano, espiritus minerales, VM&P nafta, solventes stoddard, keroseno (JP)); aceites usados; inflamables con aminas gastadas; hidrocarburos y combustibles gastados; alcoholes usados (metanol, isopropanol, etanol, alcohol n-butílico, alcohol isobutílico, ciclohexanol, n-hexanol); cetonas usadas (acetonas, metil etil cetona, dietil cetona, metil n-propil cetona, cetona); polioles y ésteres usados (glicol, etilen glicol, propilen glicol, etil glicol monobutil éter, etilen glicol monoetil éter, etilen glicol monometil éter); ésteres (acetatos de metilo, acetato de etilo, acetato de isobutilo, acetato de n-butilo, amil acetato, proplanato de n-butilo); terpenos usados (dipentano, turpentina, espíritus de turpentina); resinas y polímeros usados; pinturas usadas; sólidos caducos de la industria farmacéutica; soluciones acuosas (desechos/residuos de aminas, tetra hidrofuranos y mezcla de solventes, aceites, hidrocarburos, refrigerantes, anticongelante (polioles, glicoles y esteres)); sólidos impregnados con solventes orgánicos (desechos/adhesivos y derivados con ácido metacrillato, metil metacrilato, 2,6 di-butil-p-cresol, sílica amorfa, inflamables con trazas de residuos con cloruro de metilo, ácido trifluroacético, dimetil formamida, de resina epóxica y oxiranos, de resina poliuretano, de residuos de pintura de látex, de dos fases: sólido-gel de sales de grinnard) y mezcla de sólidos inflamables (trapos, borra, madera, sólidos de pintura, papel, equipo de protección personal, cartón, resinas, contaminados con solventes orgánicos tales como alcoholes, cetonas, hidrocarburos, aromáticos, alifáticos, naftas, esteres y terpenos, así como sólidos de pintura, barnices, lacas y selladores base solventes).",02-IV-59-14 (Prórroga),24/10/2014,24/10/2019,"40,978"
7,"Baja Wastewater Solution, S. de R.L. de C.V.","Eusebio Kino No. 113 Fracc. Garita de Otay, C.P. 22430",Tijuana,4,Baja California,2,(664) 647 50 20,"Sustancias y/o soluciones acuosas usadas y residuales (ácidos y alcalinos), con caracteríticas de corrosividad, reactividad, inflamabilidad y toxicidad, derivados de procesos industriales y de servicio por el manejo de materiales, sustancias y materiales peligroso, soluciones residuales contaminadas con goma, silicón, aceites, grasas y pinturas, y soluciones contaminadas con fundante (flux) en operaciones de limpieza de circuitos electrónicos.",2-IV-55-11,28/07/2011,28/07/2021,"4,552"
8,"Grupo Ambiental del Noroeste, S. de R.L. de C.V.","Calle Maquiladoras No. 3458-B, Ciudad Industrial Sección Dorada",Tijuana,4,Baja California,2,(664) 607 28 61,"Solventes usados (thiner, alcohol, acetona, metil etil cetona, halogenados y no halogenados), hidrocarburos usados (aceites lubricantes gastados, diesel contaminado y combustóleo) y formulación de combustible alterno sólido (blending)",02-IV-36-08,09/07/2008,09/07/2018,"27,438"
9,"Industrias P. Kay de México, S.A. de C.V.","Calle de la Brea No. 3, Meseta del Chema, Col. Monte de los Olivos, C.P. 22225",Tijuana,4,Baja California,2,(664) 625 83 65,Soldadura de estaño/plomo con diferentes aleaciones o soldaduras de estaño libre de plomo en diferentes aleaciones a partir de óxidos metálicos de soldaduras de residuos electrónicos y residuos de plomo provenientes de terceros.,02-IV-70-14,04/12/2014,04/12/2024,"4,000"
10,"Lavandería Industrial Maypa, S.A. de C.V.","Calle Mar Bermejo No. 22, Ciudad Industrial, Garita de Otay, C.P. 22509 ",Tijuana,4,Baja California,2,(664) 640 50 54,Lámparas fluorescentes/bulbos y de vapor de mercurio.,02-IV-30-14,02/05/2014,02/05/2024,480
