i>>?No.,Empresa,DirecciA3n,Municipio,Clave del Municipio,Estado,Clave del Estado,TelA(c)fono,Tipo de Residuo,No. de AutorizaciA3n,Vigencia Inicio,Vigencia TA(c)rmino,Capacidad (ton/aA+-o),
1,"Hyundai de MA(c)xico, S.A. de C.V.","La Encantada No. 7474 Parque Industrial El Florido, C.P. 22441.",Tijuana,4,Baja California,2,(664) 64 50 130,"Reciclaje energA(c)tico de trapos y estopas impregnados con pintura y solventes generados por la misma empresa, para la generaciA3n de calor mismo que serA! utilizado para alimentar un horno de secado del A!rea de pintado.",2-IV-38-11,09/06/2011,09/06/2021,120,
2,ComisiA3n Federal de Electricidad (Central TermoelA(c)ctrica Punta Prieta),"Km 9.5 de la Carretera La Paz-Pichilingue, C.P. 23000",La Paz,3,Baja California Sur,3,612 123 7702,"UtilizaciA3n de aceite gastado, trapos impregnados (con diesel, aceite y combustA3leo), como combustible alterno",03-IV-51-15,21/10/2015,21/10/2020,"3,476",
3,ComisiA3n Federal de Electricidad (C.T. CarbA3n II),Carretera 57  Km 31.5 Tramo Piedras Negras-Moclova,Nava,22,Coahuila,5,(862) 623 10 00 ext. 73450,Aceite lubricante gastado,5-IV-31-16,03/06/2016,03/06/2026,150,
4,"Forjas y Chatarras, S.A. de C.V.","Quinta Avenida s/n, Carretera Federal 57 (antigua a Monclova) Km 14, Col. Los Cedros",Ramos Arizpe,27,Coahuila,5,(844) 134 05 77,Aceite automotriz usado a utilizar como combustible alterno en el proceso de calentamiento para la producciA3n de bolas de molino forjadas,5-IV-40-09,29/04/2009,29/04/2019,113.6,
5,"Industrial CerA!mica Joven, S.A. de C.V.","Km 10,5 de la Carretera a La Angostura s/n, Col. Ribera Las Flechas, C.P. 29160",Chiapa de Corzo,27,Chiapas,7,(961) 61 209 99,Reciclaje energA(c)tico de aceite lubricante gastado proveniente de talleres mecA!nicos de servicio automotriz.,07-IV-17-17,12/05/2017,12/05/2027,468,
6,"Ladrillera Docal, S.A. de C.V.","Km 12 Carretera Tuxtla - La Angosturan s/n, Col. Amatal, C.P. 29169",Chiapa de Corzo,27,Chiapas,7,(961) 61 113 47,Reciclaje energA(c)tico de aceite lubricante gastado proveniente de talleres mecA!nicos de servicio automotriz.,07-IV-18-17,12/05/2017,12/05/2027,468,
7,ComisiA3n Federal de Electricidad (C.T. Salamanca),Calle ProlongaciA3n Faja de Oro s/n Col. Centro ,Salamanca,27,Guanajuato,11,52 29 44 00                    Ext. 4400,Aceite lubricante usado,11-IV-30-2008,11/06/2008,11/06/2018,20,
8,ComisiA3n Federal de Electricidad (Central TermoelA(c)ctrica Francisco PA(c)rez RAos),"Carr. Jorobas-Tula Km. 27.5, 2a SecciA3n del Llano",Tula de Allende,76,Hidalgo,13,(773) 732 20 46,Reciclaje enA(c)rgetico de aceite lubricante gastado,13-IV-51-08,22/09/2008,22/09/2018,288,
9,"*Manufacturas MetA!licas, S.A. de C.V.","Mixtecas No. 99, Ciudad Azteca",Ecatepec de Morelos,33,Estado de MA(c)xico,15,777 38 84,Reciclaje de combustible alterno  ,15-33-PS-V-19-95,29/08/1995,Indefinida,648,
10,"Grupo Papelero Scribe, S.A. de C.V. (Planta San Rafael)","Av. San Rafael S/N, Poblado de San Rafael",Tlalmanalco,103,Estado de MA(c)xico,15,52 82 74 45,Combustible alterno,15-IV-10-09,19/02/2009,19/02/2019,"43,800",
11,"Regio Cal, S.A. de C.V.","Potrero del Cercado S/N, C.P. 66000 ",GarcAa ,18,Nuevo LeA3n,19,83 48 25 00,Reciclaje energA(c)tico de aceite lubricante gastado,19-IV-33-08 (PrA3rroga),30/06/2008,30/06/2018,"8,146.80",
12,"Akra Polyester, S.A. de C.V. (antes Teijin Akra, S.A. de C.V.)","Ruiz Cortinez y Privada del Roble No. 100, Col. Pedro Lozano",Monterrey,39,Nuevo LeA3n,19,(81) 88 65 31 00,Aceites usados para la generaciA3n de vapor,19-IV-11-09 (PrA3rroga),09/03/2009,09/03/2019,"17,790",
13,"Ingenio Alianza Popular, S.A. de C.V.",Ejido Tambaca C.P. 79730.,Tamasopo,36,San Luis PotosA,24,(482) 385 00 25,"Aceites, grasas y desengrasantes gastados (solventes), asA como sA3lidos impregnados de aceites gastados, como combustible alterno en las calderas generadoras de vapor, durante el proceso de molienda de la caA+-a de azAocar.",24-IV-30-11,24/05/2011,24/05/2021,42.2,
14,"Cementos Moctezuma, S.A. de C.V.
(Planta Apazapan)","Predio Los Gallineros, Domicilio Conocido, Camino Vecinal a Cerro Colorado Km 1, Comunidad de Cerro Colorado",Apazapan,17,Veracruz,30,(55) 5279 5900,"Mangueras usadas impregnadas con grasa o aceite (sA3lidosimpregnados), aceite gastado, textiles impregnados con grasa o caeite y grasa contaminada, residuos peligrosos generados en las instalaciones de la empresa.",30-IV-13-17,28/04/2017,28/04/2027,43,
15,"Ingenio MahuixtlA!n, S.A. de C.V.","Domicilio conocido S/N, CongregaciA3n MahuixtlA!n, C.P. 91608",Coatepec,38,Veracruz,30,(228) 816 16 93,Aceites usados tipo SM6 base asfA!ltica,30-IV-04-09,04/02/2009,04/02/2019,9.3,
16,"Ingenio San NicolA!s, S.A. de C.V.","Carretera CA3rdoba-Cuichapa s/n, CongregaciA3n Cobos GarcAa",Cuichapa,52,Veracruz,30,(271) 717 1200,Reciclaje de aceites y grasas lubricantes gastados,30-IV-49-15,19/11/2015,19/11/2025,11.32,
17,"Grupo Papelero Escribe, S.A. de C.V.",Av. San Juan No. 15 Col. Escamela Zona Industrial 94730,IxtaczoquitlA!n,85,Veracruz,30,(272) 8 28 29,"Reciclaje energA(c)tico de residuos peligrosos utilizado como combustible alterno, formulado con una mezcla de residuos destilados de hidrocarburos pesados como asfalto, chapopote, hidrocarburos lAquidos, combustA3leo y lodos aceitosos; productos petroquAmicos e hidrocarburos ligeros como ifuxoil, tar, ecolin-plus, proquinoil, aceites usados, naftas, diesel, gasA3leo, gasolinas contaminadas, ciclohexano, thiner, alcohol, butadieno, gasolinas y aceites recuperados de trampas, asA como aguas aceitosas.",30-IV-10-08,29/02/2008,28/02/2018,"33,580",
18,"ComisiA3n Federal de Electricidad, Central TermoelA(c)ctrica Pdte. Adolfo LA3pez Mateos",Km. 6 al norte de la desembocadura del rio Tuxpan,Tuxpan,189,Veracruz,30,(783) 8359 237,"Aceite lubricante usado y materiales impregnados con combustible, aceite, diesel y solvente. ",30-IV-16-17,02/05/2017,02/05/2027,"7,211",
19,"Ingenio Tres Valles, S.A. de C.V.","Km. 68 Carretera La Tinaja Cd. AlemA!n, 95300. ",Tres Valles,207,Veracruz,30,(288) 88 692 11 ext. 1405/1423,"Lodos aceitosos, trapo impregnado y aceite residual.",30-IV-20-16,20/04/2016,20/04/2026,37.5,
20,ComisiA3n Federal de Electricidad (C.T. Merida II),Carretera MA(c)rida-UmA!n cruce con anillo perifA(c)rico Cidad Industrial,MA(c)rida,50,YucatA!n,31,52 29 44 00,Aceite quemado o usado,31-IV-04-08,18/01/2008,18/01/2018,4.5,
