i>>?#,,RAZON SOCIAL,,,,CALLE Y NAMERO,COLONIA,MUNICIPIO,CADIGO POSTAL,ESTADO,No. LICENCIA,FECHA LICENCIA,CLASIFICACION O GIRO,,,,LINEAS AUTORIZADAS,,,,,,
1,,AKZO NOBEL CHEMICALS  S.A DE C.V,,,,AV. MORELOS No. 49,TECAMACHALCO,LOS REYES LA PAZ,,MEXICO,2000AR04E,20/10/2000,PRODUCTOS QUIMICOS BASICOS ORGANICOS; FABRICA DEa|a|.,,,,NO DISPONIBLE,,,,,,
2,,ALKEM INDUSTRIAS S.A. DE C.V.,,,,LADRON DE GUEVARA NO. 710,DEL NORTE,MONTERREY,64500,NUEVO LEON,06FQBO190390006,16/08/2006,FABRICACION DE PRODUCTOS QUIMICOS BASICOS ORGANICOS,,,,PRODUCCION DE ACETATOS Y FORMIATOS,,,,,,
3,,ALKEMIN S. DE R.L. DE C.V.,,,,MARTIN MONGE NO. 307,NUEVA VALLADOLID,MORELIA,58190,MICHOACAN,05FQBO160530005,26/12/2005,FABRICACION DE PRODUCTOS QUIMICOS BASICOS ORGANICOS,,,,FABRICACION DE XANTATOS,,,,,,
4,,ALMERIA S.A. DE C.V.,,,,JOSE ANTONIO TORRES No. 400,S/C,ZACOALCO DE TORRES,45765,JALISCO,16FQBI1411902,02/02/2016,FABRICACION DE OTROS PRODUCTOS QUIMICOS BASICOS INORGANICOS,,,,BENEFICIO DE TIERRAS DIATOMACEAS PARA LA INDUSTRIA (SALO MATERIA PRIMA),,,,,,
5,,ALTA PUREZA MAQUILADORA S. A. DE C. V.,,,,CALLE 10 NO. 123,GRANJAS SAN ANTONIO,IZTAPALAPA,9070,D.F.,06FQBIO090090001,18/08/2006,FABRICACION DE PRODUCTOS QUIMICOS BASICOS INORGANICOS Y ORGANICOS,,,,"CARBAMIDAS,         FENOLSULFONATOS, SULFATOS Y NITRATOS",,"ACETATOS,CITRATOS,CLORUROS,FOSFATOS,",,,,
6,,AQUA CLOR S. A. DE C. V.,,,,CARRETERA MONTERREY-MONCLOVA KM 14,S/C,EL CARMEN,66550,NUEVO LEON,07FQBI190100007,15/01/2007,FABRICACION DE PRODUCTOS QUIMICOS BASICO INORGANICOS,,,,HIPOCLORITO DE SODIO,,,,,,
7,,"ARKEMA MEXICO, S.A. DE C.V. PLANTA EL CHAPO",,,,Km. 6.5 CARRET. NANCHITAL-LAS CHOAPAS,ESTACION EL CHAPO,IXHUATLAN DEL SURESTE,96360,VERACRUZ,07FQB0300820002,04/12/2012,FABRICACION DE OTROS PRODUCTOS QUIMICOS BASICOS ORGANICOS,,,,"PEROXIDOS ORGANICOS, PEROXIDO DE DI-ISONONANOLIO, PEROXIDICARBONATO DE DI-2- ETIL-EXILO,     PEROXIACETATO     DE     TERBUTILO,     PEROXIPIVALATO     DE     TERBUTILO, PEROCTATO     DE     T-BUTILO,      TERBUTIL     PEROXI     3-5-5     TRIMETIL     HEXANOATO, PEROXIACETATO DE TERAMILO.",,,,,,
8,,"ARZANI CAPELINI DOMINGO  / INDUSTRIA  QUIMICA  DEL ISTMO
S.A. DE C.V.",,,,COMPLEJO PETROQUIMICO PAJARITOS,S/C,COATZACOALCOS,NO DISPONIBLE,VERACRUZ,98AR04E,,"FABRICA DE PRODUCTOS QUIMICOS, TOXICOS Y/O PELIGROSOS",,,,NO DISPONIBLE,,,,,,
9,,"AVANTOR  PERFORMANCE  MATERIALS,  S.A.  DE  C.V.  (ANTES MALLINCKRODT BAKER, S.A. DE C.V.)",,,,PLOMO No. 2,FRACC.                     INDUSTRIAL ESFUERZO NACIONAL,ECATEPEC DE MORELOS,55320,MEXICO,11FQBI150330028,28/02/2011,FABRICACION DE OTROS PRODUCTOS QUIMICOS BASICOS INORGANICOS,,,,FABRICACION DE ACIDOS Y SOLVENTES (LIQUIDOS) Y SALES (SOLIDOS),,,,,,
10,,BASF MEXICANA S.A. DE C.V.,,,,PLASTICOS NO. 100,SANTA CLARA COATITLA,ECATEPEC DE MORELOS,,MEXICO,95036,,"PRODUCTOS QUIMICOS TOXICOS Y/O PELIGROSOS; FABRICA DEa| PLAGUICIDAS, ALMACEN, DISTRIBUCION Y COMERCIALIZACION DEa|. FERTILIZANTES,    MEJORADORES    DE    SUELO    E    INOCULANTES, COMERCIALIZACION DE...","ALMACEN,",DISTRIBUCION,Y,NO DISPONIBLE,,,,,,
