AÑO_O_PERIODO,ECOSISTEMA,SUPERFICIE_(HECTAREAS),TASA_ANUAL_DE_CAMBIO_(PORCENTAJE)
1976,Selvas,37772298,
1976,Bosques,35062148,
1993,Selvas,34264490,
1993,Bosques,34525283,
2002,Selvas,32937296,
2002,Bosques,34166446,
2007,Selvas,32101988,
2007,Bosques,34142463,
2011,Selvas,31713466,
2011,Bosques,34121881,
1976-1993,Selvas,,-0.57
1976-1993,Bosques,,-0.09
1976-2011,Selvas,,-0.44
1976-2011,Bosques,,-0.12
1993-2002,Selvas,,-0.51
1993-2002,Bosques,,-0.01
2002-2007,Selvas,,-0.3
2002-2007,Bosques,,-0.02
2007-2011,Selvas,,-0.5
2007-2011,Bosques,,-0.08
