ENTIDAD_FEDERATIVA,ZONAS_METROPOLITANAS_O_POBLACIONES
Aguascalientes,Aguascalientes
Baja California,Ensenada
Baja California,Mexicali
Baja California,Playas de Rosarito
Baja California,Tecate
Baja California,Tijuana
Campeche,Campeche
Chiapas,Tuxtla Gutierrez
Chihuahua,Juarez
Chihuahua,Chihuahua
Chihuahua,Ojinaga
Coahuila,Acuña
Coahuila,Torreon
Colima,Villa de Alvarez
Distrito Federal,Zona Metropolitana del Valle de Mexico
Durango,Lerdo
Durango,Durango
Durango,Gomez Palacio
Guanajuato,Abasolo
Guanajuato,Acambaro
Guanajuato,Celaya
Guanajuato,Cortazar
Guanajuato,Dolores Hidalgo
Guanajuato,Irapuato
Guanajuato,Juventino Rosas
Guanajuato,Leon
Guanajuato,Moroleon
Guanajuato,Salamanca
Guanajuato,San Francisco del Rincon
Guanajuato,San Jose Iturbide
Guanajuato,San Miguel de Allende
Guanajuato,Silao
Guanajuato,Villagran
Hidalgo,Ajacuba
Hidalgo,Atitalaquia
Hidalgo,Atotonilco de Tula
Hidalgo,Huichapan
Hidalgo,Lolotla
Hidalgo,Pachuca
Hidalgo,Tepeapulco
Hidalgo,Tepeji del Rio
Hidalgo,Tepetitlan
Hidalgo,Tizayuca
Hidalgo,Tlaxcoapan
Hidalgo,Tula de Allende
Hidalgo,Xochicotlan
Hidalgo,Zapoatlan de Juarez
Jalisco,Zona Metropolitana de Guadalajara
Mexico,Zona Metropolitana del Valle de Toluca
Michoacan,Morelia
Morelos,Cuautla
Morelos,Cuernavaca
Morelos,Ocuituco
Morelos,Zacatepec
Nayarit,Tepic
Nuevo Leon,Area Metropolitana de Monterrey
Oaxaca,Oaxaca de Juarez
Puebla,Cuautlancingo
Puebla,Puebla
Queretaro,Corregidora
Queretaro,El Marques
Queretaro,Queretaro
San Luis Potosi,San Luis Potosi
Sinaloa,Ahome
Sinaloa,Culiacan
Sinaloa,Guasave
Sinaloa,Mazatlán
Sinaloa,Salvador Alvarado
Sonora,Agua Prieta
Sonora,Cajeme
Sonora,Guaymas
Sonora,Hermosillo
Sonora,Navojoa
Sonora,Nogales
Sonora,Puerto Peñasco
Sonora,San Luis Río Colorado
Tabasco,Balancán
Tabasco,Centro
Tabasco,Huimanguillo
Tabasco,Nacajuca
Tabasco,Paraiso
Tabasco,Teapa
Tamaulipas,Altamira
Tamaulipas,Ciudad Madero
Tamaulipas,El Mante
Tamaulipas,Matamoros
Tamaulipas,Nuevo Laredo
Tamaulipas,Reynosa
Tamaulipas,Tampico
Tamaulipas,Victoria
Tlaxcala,Apizaco
Tlaxcala,Calpulalpan
Tlaxcala,Huamantla
Tlaxcala,Ixtacuixtla de Mariano Matamoros
Tlaxcala,Santa Cruz Quilehtla
Tlaxcala,Tlaxcala
Veracruz,Minatitlan
Veracruz,Xalapa
Yucatan,Merida
Zacatecas,Guadalupe
Zacatecas,Zacatecas
