i>>?PROD_EST,COBERTURA,ANIO,MES,ID_ENTIDAD,ID_MUNICIPIO,GRUPO_PRODUCTO,PRODUCTO,UNIDAD_MEDIDA,VOLUMEN,ESTATUS
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2005,Enero,	05,	002,Minerales No MetA!licos,Fluorita,Toneladas,2395,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2005,Enero,	05,	011,Metales Preciosos,Oro,Kilogramos,0,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2005,Enero,	05,	011,Metales Preciosos,Plata,Kilogramos,0,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2005,Enero,	05,	011,Metales Industriales No Ferrosos,Plomo,Toneladas,0,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2005,Enero,	05,	018,Metales y Minerales SiderAorgicos,Coque,Toneladas,126351,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2005,Enero,	05,	018,Metales y Minerales SiderAorgicos,Pellets de fierro,Toneladas,196471,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2005,Enero,	05,	020,Minerales No MetA!licos,Barita,Toneladas,2850,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2005,Enero,	05,	020,Minerales No MetA!licos,Fluorita,Toneladas,7365,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2005,Enero,	05,	023,Metales Preciosos,Oro,Kilogramos,0,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2005,Enero,	05,	023,Metales Preciosos,Plata,Kilogramos,2419,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2005,Enero,	05,	023,Metales Industriales No Ferrosos,Plomo,Toneladas,10,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2005,Enero,	05,	024,Minerales No MetA!licos,Barita,Toneladas,63,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2005,Enero,	05,	032,Metales y Minerales SiderAorgicos,Coque,Toneladas,657,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2005,Enero,	05,	034,Metales y Minerales SiderAorgicos,Fierro en Extraccion,Toneladas,241402,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2005,Enero,	06,	004,Metales y Minerales SiderAorgicos,Fierro en Extraccion,Toneladas,29184,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2005,Enero,	06,	005,Metales y Minerales SiderAorgicos,Pellets de fierro,Toneladas,99504,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2005,Enero,	06,	007,Metales y Minerales SiderAorgicos,Pellets de fierro,Toneladas,219359,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2005,Enero,	06,	008,Metales y Minerales SiderAorgicos,Fierro en Extraccion,Toneladas,234268,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2005,Enero,	07,	074,Minerales No MetA!licos,Azufre,Toneladas,24589,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2005,Enero,	08,	002,Metales Preciosos,Oro,Kilogramos,0,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2005,Enero,	08,	002,Metales Preciosos,Plata,Kilogramos,0,Cifras Definitivas.
