AÑO,PRODUCCION_MADERABLE_(M3),PRODUCCION_NO_MADERABLE_(TONELADAS)
1986,8958542,61049
1987,9790839,73204
1988,9314384,106546
1989,8888276,74088
1990,8157204,194702
1991,7688515,167486
1992,7682061,148688
1993,6349356,143467
1994,6406750,111346
1995,6302417,104356
1996,6843786,83366
1997,7711809,89261
1998,8330982,95962
1999,8496726,142944
2000,9429800,237042
2001,8124571,276293
2002,6664720,143509
2003,6996770,259377
2004,6718508,433097
2005,6423897,359349
2006,6481168,166363
2007,6988461,594275
2008,6304949,124236
2009,5808956,226947
2010,5627088,198317
2011,5501085,220030
2012,5910293,186018
2013,5957094,120475
2014,6246135,154978
