AÑO,TIPO_DE_PLAGA,EXTENSION_(HECTAREAS)
1993,Barrenadores,444
1993,Defoliadores,627
1993,Descortezadores,4514
1993,Muerdago,1319
1993,Otras plagas y enfermedades,0
1994,Barrenadores,1
1994,Defoliadores,622
1994,Descortezadores,1823
1994,Muerdago,1362
1994,Otras plagas y enfermedades,438
1995,Barrenadores,15
1995,Defoliadores,622
1995,Descortezadores,4418
1995,Muerdago,1930
1995,Otras plagas y enfermedades,312
1996,Barrenadores,57
1996,Defoliadores,335
1996,Descortezadores,1842
1996,Muerdago,4135
1996,Otras plagas y enfermedades,38
1997,Barrenadores,1739
1997,Defoliadores,3163
1997,Descortezadores,763
1997,Muerdago,1255
1997,Otras plagas y enfermedades,20
1998,Barrenadores,536
1998,Defoliadores,1655
1998,Descortezadores,813
1998,Muerdago,496
1998,Otras plagas y enfermedades,28
1999,Barrenadores,1040
1999,Defoliadores,978
1999,Descortezadores,2614
1999,Muerdago,89
1999,Otras plagas y enfermedades,118
2000,Barrenadores,1650
2000,Defoliadores,982
2000,Descortezadores,4596
2000,Muerdago,422
2000,Otras plagas y enfermedades,140
2001,Barrenadores,1694
2001,Defoliadores,273
2001,Descortezadores,5117
2001,Muerdago,360
2001,Otras plagas y enfermedades,178
2002,Barrenadores,750
2002,Defoliadores,427
2002,Descortezadores,3684
2002,Muerdago,3
2002,Otras plagas y enfermedades,112
2003,Barrenadores,2903
2003,Defoliadores,1165
2003,Descortezadores,14854
2003,Muerdago,4241
2003,Otras plagas y enfermedades,1837
2004,Barrenadores,1531
2004,Defoliadores,7201
2004,Descortezadores,8400
2004,Muerdago,12365
2004,Otras plagas y enfermedades,2395
2005,Barrenadores,765
2005,Defoliadores,3817
2005,Descortezadores,14776
2005,Muerdago,9195
2005,Otras plagas y enfermedades,3737
2006,Barrenadores,3002
2006,Defoliadores,6545
2006,Descortezadores,15469
2006,Muerdago,18255
2006,Otras plagas y enfermedades,2893
2007,Barrenadores,4035
2007,Defoliadores,7673
2007,Descortezadores,11248
2007,Muerdago,20539
2007,Otras plagas y enfermedades,2201
2008,Barrenadores,4215
2008,Defoliadores,14135
2008,Descortezadores,11683
2008,Muerdago,24871
2008,Otras plagas y enfermedades,1204
2009,Barrenadores,3729
2009,Defoliadores,13126
2009,Descortezadores,6902
2009,Muerdago,19936
2009,Otras plagas y enfermedades,1502
2010,Barrenadores,1700
2010,Defoliadores,36655
2010,Descortezadores,7778
2010,Muerdago,12708
2010,Otras plagas y enfermedades,2304
2011,Barrenadores,1370
2011,Defoliadores,13926
2011,Descortezadores,9473
2011,Muerdago,19242
2011,Otras plagas y enfermedades,989
2012,Barrenadores,1553
2012,Defoliadores,6585
2012,Descortezadores,112449
2012,Muerdago,15261
2012,Otras plagas y enfermedades,1125
2013,Barrenadores,508
2013,Defoliadores,12119
2013,Descortezadores,33474
2013,Muerdago,16581
2013,Otras plagas y enfermedades,2783
2014,Barrenadores,1651
2014,Defoliadores,23023
2014,Descortezadores,13857
2014,Muerdago,13264
2014,Otras plagas y enfermedades,7012
2015,Barrenadores,380
2015,Defoliadores,28003
2015,Descortezadores,4469
2015,Muerdago,8686
2015,Otras plagas y enfermedades,8957
