AÑO,TIPO_DE_SUPERFICIE,EXTENSION_(HECTAREAS)
1993,Incorporada,14512
1993,Acumulada,14512
1994,Incorporada,42302
1994,Acumulada,56814
1995,Incorporada,64049
1995,Acumulada,120863
1996,Incorporada,109882
1996,Acumulada,230745
1997,Incorporada,139828
1997,Acumulada,370573
1998,Incorporada,200622
1998,Acumulada,571195
1999,Incorporada,225151
1999,Acumulada,796346
2000,Incorporada,240495
2000,Acumulada,1036841
2001,Incorporada,164823
2001,Acumulada,1201664
2002,Incorporada,224772
2002,Acumulada,1426436
2003,Incorporada,186716
2003,Acumulada,1613152
2004,Incorporada,195819
2004,Acumulada,1808971
2005,Incorporada,182674
2005,Acumulada,1991645
2006,Incorporada,212675
2006,Acumulada,2204320
2007,Incorporada,341376
2007,Acumulada,2545696
2008,Incorporada,373002
2008,Acumulada,2918698
2009,Incorporada,176904
2009,Acumulada,3095602
2010,Incorporada,265721
2010,Acumulada,3361323
2011,Incorporada,274495
2011,Acumulada,3635818
2012,Incorporada,422666
2012,Acumulada,4058484
2013,Incorporada,121006
2013,Acumulada,4179490
2014,Incorporada,128086
2014,Acumulada,4307576
2015,Incorporada,98691
2015,Acumulada,4406267
