AÑO,TIPO_DE_SUPERFICIE,SUPERFICIE_(HECTAREAS)
2000,Superficie Apoyada,3096
2000,Superficie Acumulada,3096
2001,Superficie Apoyada,4424
2001,Superficie Acumulada,7520
2002,Superficie Apoyada,5044
2002,Superficie Acumulada,12563
2003,Superficie Apoyada,7353
2003,Superficie Acumulada,19917
2004,Superficie Apoyada,12192
2004,Superficie Acumulada,32109
2005,Superficie Apoyada,15356
2005,Superficie Acumulada,47465
2006,Superficie Apoyada,23796
2006,Superficie Acumulada,71261
2007,Superficie Apoyada,18297
2007,Superficie Acumulada,89558
2008,Superficie Apoyada,32107
2008,Superficie Acumulada,121665
2009,Superficie Apoyada,36270
2009,Superficie Acumulada,157935
2010,Superficie Apoyada,25457
2010,Superficie Acumulada,183392
2011,Superficie Apoyada,28850
2011,Superficie Acumulada,212243
2012,Superficie Apoyada,29909
2012,Superficie Acumulada,242152
2013,Superficie Apoyada,27510
2013,Superficie Acumulada,269662
2014,Superficie Apoyada,20065
2014,Superficie Acumulada,287303
