Environmental Keywords in Spanish,Common Measurments in Spanish
Medio ambiente,Particulas de ozono
Contaminacion,Dióxido de Azufre 
Contaminacion ambiental,Monóxido de Carbono 
Contaminacion de aire,Dióxido de Nitrógeno
Contaminacion de agua,Plomo
Contaminacion mar,Sulfuro de Hidrógeno
Contaminacion playas,Concentración de PM 10
Contaminacion rios,Concentración de PM 2.5
Basurero,
Basura,
Vertedero,
Desechos,
Suelos,
Degradacion de suelos,
Fracking,
Falta de agua potable,
Minas,
Mineras,
Extraccion,
Extraccion de recursos,
Contaminacion industrial,
Bosques,
Deforestacion,
Permisos ambientales,
Permiso de aprovechamiento,
Pesca,
Pesca ilegal,
Biodiversidad,
Emisiones,
Aguas negras,
Manejo de residuos,
Reglas ambientales,
Sustancias toxicas,
Autoridad ambiental,
Transgenicos,
Insalubre,
Relleno sanitario,
Daño ambiental,
Peligro ambiental,
Multa ambiental,
Multa contaminacion,
Evaluacion ambiental,
Impacto ambiental,
Tala de arboles,
Tala de bosques,
Protesta ambiental,
Limpieza ambiental,
Vigilancia ambiental,
Calidad de aire,
Solar plant,
Energia renovable,
Ambientalista,
Activista ambiental,
Reportero ambiental,
Reforestacion,
Proteger ambiente,
Conflictos de tierra,
Conflictos ambientales,
Empresas contaminantes,
Industria de ladrillos,
Ladrilleras,
Quema de llantas,
Foco de contaminacion,
Tiradero de basura,
Incendio forestal,
Emergencia atmosferica,
Drenaje sanitario,
Contingencia ambiental,
Explotar recursos,
Explotacion de tierras,
Pueblos indigenas,
Ecocidio,
Calidad ambiental,
Distribucion de calidad ambiental,
Toma de tierras indigenas,
Conflictos de tierras indigenas,
Ejidos,
